1000		1		100001
1000		2		100002
1001		1		100001
1001		2		100003
1002		1		100001
1002		2		100003
1003		1		100001
1003		2		100003
1004		1		100001
1004		2		100003
1005		1		100001
1005		2		100003
1006		1		100001
1006		2		100003
1007		1		100001
1007		2		100003
1008		1		100001
1008		2		100003
1009		1		100001
1009		2		100003
1010		1		100001
1010		2		100003
1011		1		100001
1011		2		100003
1012		1		100001
1012		2		100003
1013		1		100001
1013		2		100003
1014		1		100001
1014		2		100003
1015		1		100001
1015		2		100004
1016		1		100001
1016		2		100005
1017		1		100001
1017		2		100006
1018		1		100001
1018		2		100007
1019		1		100001
1019		2		100007
1020		1		100001
1020		2		100007
1021		1		100001
1021		2		100007
1022		1		100001
1022		2		100008
1023		1		100001
1023		2		100009
1024		1		100001
1024		2		100009
1025		1		100001
1025		2		100009
1026		1		100001
1026		2		100010
1027		1		100001
1027		2		100011
1028		1		100001
1028		2		100011
1029		1		100001
1029		2		100012
1030		1		100001
1030		2		100013
1031		1		100001
1031		2		100013
1032		1		100001
1032		2		100013
1033		1		100001
1033		2		100014
1034		1		100001
1034		2		100015
1035		1		100001
1035		2		100016
1036		1		100001
1036		2		100016
1037		1		100001
1037		2		100016
1038		1		100001
1038		2		100017
1039		1		100001
1039		2		100018
1040		1		100019
1040		2		100020
1041		1		100019
1041		2		100021
1042		1		100019
1042		2		100022
1043		1		100019
1043		2		100023
1044		1		100019
1044		2		100023
1045		1		100019
1045		2		100024
1046		1		100019
1046		2		100024
1047		1		100019
1047		2		100024
1048		1		100019
1048		2		100024
1049		1		100019
1049		2		100024
1050		1		100019
1050		2		100024
1051		1		100019
1051		2		100024
1052		1		100019
1052		2		100024
1053		1		100019
1053		2		100025
1054		1		100019
1054		2		100025
1055		1		100019
1055		2		100026
1056		1		100019
1056		2		100026
1057		1		100019
1057		2		100026
1058		1		100019
1058		2		100026
1059		1		100019
1059		2		100026
1060		1		100019
1060		2		100026
1061		1		100019
1061		2		100026
1062		1		100019
1062		2		100026
1063		1		100019
1063		2		100026
1064		1		100019
1064		2		100026
1065		1		100019
1065		2		100027
1066		1		100019
1066		2		100027
1067		1		100019
1067		2		100027
1068		1		100019
1068		2		100028
1069		1		100019
1069		2		100029
1070		1		100019
1070		2		100030
1071		1		100019
1071		2		100030
1072		1		100019
1072		2		100030
1073		1		100019
1073		2		100031
1074		1		100019
1074		2		100031
1075		1		100019
1075		2		100032
1076		1		100019
1076		2		100033
1077		1		100019
1077		2		100033
1078		1		100019
1078		2		100033
1079		1		100019
1079		2		100034
1080		1		100019
1080		2		100034
1081		1		100019
1081		2		100035
1082		1		100019
1082		2		100036
1083		1		100019
1083		2		100037
1084		1		100019
1084		2		100038
1085		1		100019
1085		2		100039
1086		1		100019
1086		2		100039
1087		1		100019
1087		2		100040
1088		1		100019
1088		2		100041
1089		1		100019
1089		2		100042
1090		1		100019
1090		2		100043
1091		1		100019
1091		2		100044
1092		1		100019
1092		2		100044
1093		1		100019
1093		2		100045
1094		1		100019
1094		2		100046
1095		1		100019
1095		2		100047
1096		1		100048
1096		2		100049
1097		1		100048
1097		2		100050
1098		1		100048
1098		2		100051
1099		1		100048
1099		2		100051
1100		1		100048
1100		2		100052
1101		1		100048
1101		2		100053
1102		1		100048
1102		2		100054
1103		1		100048
1103		2		100055
1104		1		100048
1104		2		100055
1105		1		100048
1105		2		100055
1106		1		100048
1106		2		100056
1107		1		100048
1107		2		100057
1108		1		100048
1108		2		100058
1109		1		100048
1109		2		100059
1110		1		100048
1110		2		100060
1111		1		100048
1111		2		100061
