0		1		112
0		2		113
1		1		112
1		2		114
2		1		112
2		2		114
3		1		112
3		2		114
4		1		112
4		2		114
5		1		112
5		2		114
6		1		112
6		2		114
7		1		112
7		2		114
8		1		112
8		2		114
9		1		112
9		2		114
10		1		112
10		2		114
11		1		112
11		2		114
12		1		112
12		2		114
13		1		112
13		2		114
14		1		112
14		2		114
15		1		112
15		2		115
16		1		112
16		2		116
17		1		112
17		2		117
18		1		112
18		2		118
19		1		112
19		2		118
20		1		112
20		2		118
21		1		112
21		2		118
22		1		112
22		2		119
23		1		112
23		2		120
24		1		112
24		2		120
25		1		112
25		2		120
26		1		112
26		2		121
27		1		112
27		2		122
28		1		112
28		2		122
29		1		112
29		2		123
30		1		112
30		2		124
31		1		112
31		2		124
32		1		112
32		2		124
33		1		112
33		2		125
34		1		112
34		2		126
35		1		112
35		2		127
36		1		112
36		2		127
37		1		112
37		2		127
38		1		112
38		2		128
39		1		112
39		2		129
40		1		130
40		2		131
41		1		130
41		2		132
42		1		130
42		2		133
43		1		130
43		2		134
44		1		130
44		2		134
45		1		130
45		2		135
46		1		130
46		2		135
47		1		130
47		2		135
48		1		130
48		2		135
49		1		130
49		2		135
50		1		130
50		2		135
51		1		130
51		2		135
52		1		130
52		2		135
53		1		130
53		2		136
54		1		130
54		2		136
55		1		130
55		2		137
56		1		130
56		2		137
57		1		130
57		2		137
58		1		130
58		2		137
59		1		130
59		2		137
60		1		130
60		2		137
61		1		130
61		2		137
62		1		130
62		2		137
63		1		130
63		2		137
64		1		130
64		2		137
65		1		130
65		2		138
66		1		130
66		2		138
67		1		130
67		2		138
68		1		130
68		2		139
69		1		130
69		2		140
70		1		130
70		2		141
71		1		130
71		2		141
72		1		130
72		2		141
73		1		130
73		2		141
74		1		130
74		2		142
75		1		130
75		2		143
76		1		130
76		2		144
77		1		130
77		2		144
78		1		130
78		2		144
79		1		130
79		2		145
80		1		130
80		2		145
81		1		130
81		2		146
82		1		130
82		2		147
83		1		130
83		2		148
84		1		130
84		2		149
85		1		130
85		2		150
86		1		130
86		2		150
87		1		130
87		2		151
88		1		130
88		2		152
89		1		130
89		2		153
90		1		130
90		2		154
91		1		130
91		2		155
92		1		130
92		2		155
93		1		140
93		2		156
94		1		130
94		2		157
95		1		130
95		2		158
96		1		159
96		2		160
97		1		159
97		2		161
98		1		159
98		2		162
99		1		159
99		2		162
100		1		159
100		2		163
101		1		159
101		2		164
102		1		159
102		2		165
103		1		159
103		2		166
104		1		159
104		2		166
105		1		159
105		2		166
106		1		159
106		2		167
107		1		159
107		2		168
108		1		159
108		2		169
109		1		159
109		2		170
110		1		159
110		2		171
111		1		159
111		2		172
